Label,Strength,Community
1,5,SBU
2,1,SBU
3,1,SBU
4,3,SBU
5,2,SBU
6,3,SBU
7,4,SBU
8,4,ToastMasters
9,4,SBU
10,1,Unknown
11,4,SBU
12,3,Unknown
13,3,SBU
14,2,SBU
15,2,Unknown
16,3,SBU
17,3,SBU
18,1,ToastMasters
19,1,SBU
20,1,SBU
21,3,Unknown
22,2,NYU
23,2,NYU
24,2,Unknown
25,5,TJU
26,3,Hometown
27,3,SBU
28,3,SBU
29,2,SBU
30,4,Cornell
31,1,Unknown
32,1,Unknown
33,2,SBU
34,4,SBU
35,3,SBU
36,2,SBU
37,1,SBU
38,3,SBU
39,4,SBU
40,1,SBU
41,2,SBU
42,1,Unknown
43,1,SBU
44,1,Unknown
45,4,SBU
46,1,Unknown
47,4,SBU
48,3,SBU
49,3,NYU
50,2,TJU
51,2,SBU
52,5,TJU
53,1,Unknown
54,3,SBU
55,2,NY 
56,1,Unknown
57,4,SBU
58,1,Unknown
59,2,SBU
60,3,SBU
61,3,SBU
62,3,SBU
63,3,NY 
64,2,SBU
65,3,TJU
66,2,SBU
67,2,TJU
68,2,TJU
69,1,Unknown
70,3,SBU
71,1,SBU
72,3,SBU
73,1,Unknown
74,3,SBU
75,2,SBU
76,3,SBU
77,3,SBU
78,1,SBU
79,2,TJU
80,4,SBU
81,1,Unknown
82,1,Unknown
83,1,Unknown
84,3,SBU
85,2,SBU
86,1,Unknown
87,3,SBU
88,2,SBU
89,2,SBU
90,4,SBU
91,3,SBU
92,3,SBU
93,3,SBU
94,2,SBU
95,3,SBU
96,2,SBU
97,2,SBU
98,2,SBU
99,2,SBU
100,1,Unknown
101,1,Unknown
102,3,SBU
103,3,SBU
104,2,TJU
105,5,TJU
106,2,TJU
107,3,TJU
108,3,TJU
109,2,TJU
110,2,SBU
111,3,SBU
112,2,SBU
113,3,SBU
114,2,SBU
115,1,Unknown
116,2,SBU
117,2,SBU
118,3,NY 
119,2,TJU
120,1,Unknown
121,3,NYU
122,3,TJU
123,3,SBU
124,3,SBU
125,2,SBU
126,2,TJU
127,2,SBU
128,2,TJU
129,1,Hometown
130,2,SBU
131,3,TJU
132,3,TJU
133,2,SBU
134,2,NYU
135,4,NYU
136,2,SBU
137,4,TJU
138,3,SBU
139,2,SBU
140,2,TJU
141,2,SBU
142,2,TJU
143,2,TJU
144,2,TJU
